,id,song name,artist name,artist popularity,artist genres,album genres,release_date,song duration,song popularity
0,6kzj1MWS5tFsoOZUz4c8Hc,Tauba Tumhare Ishare,Abhijeet,64,"['classic bollywood', 'desi pop', 'filmi', 'modern bollywood']",[],2003-05-03,316360,58
1,2nLtzopw4rPReszdYBJU6h,Numb,Linkin Park,82,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",[],2003-03-24,185586,83
2,251PNRmJU9KcUnFQAB5t6I,Kal Ho Naa Ho,Shankar-Ehsaan-Loy,66,"['desi pop', 'filmi', 'modern bollywood']",[],2003-09-20,321240,66
3,6cUaCs1lKfDOyFKMkBF8ch,Dil Dooba,Sonu Nigam,72,"['desi pop', 'filmi', 'modern bollywood']",[],2003-10-17,230946,59
4,1C5e7ZRscn79tjMEc3swc7,Kangna,Dr Zeus,57,"['bhangra', 'desi hip hop', 'desi pop', 'punjabi hip hop', 'punjabi pop']",[],2003-01-01,210680,60
5,0s8fGVzyn6URNrUVwCE3dV,Mann Ki Lagan,Rahat Fateh Ali Khan,70,"['classic pakistani pop', 'filmi', 'modern bollywood', 'qawwali', 'sufi']",[],2003-12-20,291920,51
6,5dS7HcRa9kER2qDba2iSOd,Suno Na Suno Na,Abhijeet,64,"['classic bollywood', 'desi pop', 'filmi', 'modern bollywood']",[],2003-05-03,321226,55
7,6Y1cH3RzDCMWGQtOS0HmP8,Allah Ke Bande,Kailash Kher,63,"['desi hip hop', 'desi pop', 'filmi', 'indian folk', 'modern bollywood', 'sufi']",[],2003-11-14,246883,60
8,2NKkRdLnT1aI0W8YqtTkOu,Tere Naam,Alka Yagnik,75,"['classic bollywood', 'desi pop', 'filmi', 'hare krishna', 'modern bollywood']",[],2003-06-28,390386,50
9,7Czm0vv2sYL5z4P51KY66e,Maahi Ve,Shankar-Ehsaan-Loy,66,"['desi pop', 'filmi', 'modern bollywood']",[],2003-09-20,366853,62
10,0Kd2IhGYGYrOATgOOnDBzI,Kuch To Hua Hai,Shankar-Ehsaan-Loy,66,"['desi pop', 'filmi', 'modern bollywood']",[],2003-09-20,319560,55
11,3rsx3pDYM3a08O0Yu3Tq6V,Pretty Woman,Shankar-Ehsaan-Loy,66,"['desi pop', 'filmi', 'modern bollywood']",[],2003-09-20,353880,57
12,7iL6o9tox1zgHpKUfh9vuC,In Da Club,50 Cent,82,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",[],2003-02-06,193466,82
13,29ffQxBUZLJdN3kiPndB9n,Neeti Mullai (Bit),"Sagar, Sumangali",44,['classic tollywood'],[],2003-12-17,81990,62
14,3hCUkos0NxuSFl73oOHJzb,It's the Time to Disco,Shankar-Ehsaan-Loy,66,"['desi pop', 'filmi', 'modern bollywood']",[],2003-09-20,333093,59
15,1fAcwdvJs9WqzimQR6wOJ7,Chalte Chalte,Abhijeet,64,"['classic bollywood', 'desi pop', 'filmi', 'modern bollywood']",[],2003-05-03,327400,52
16,6JaPzZTc4A5hGXtrIAdLes,Ethrayo,Srinivas,58,"['filmi', 'mollywood', 'tamil pop']",[],2003-07-19,325333,51
17,2wCYsTuY8Wsw0iBlw06mbg,Lagan Lagi,Sukhwinder Singh,65,"['classic bollywood', 'desi hip hop', 'desi pop', 'filmi', 'modern bollywood']",[],2003-06-28,275520,55
18,0mXcEgjLvFcdwCJ6iMFdL4,Tere Naam,Udit Narayan,74,"['chutney', 'classic bollywood', 'desi pop', 'filmi']",[],2003-06-28,393706,54
19,0ackkoKC6zK7S3pKk9tTRz,Sukhamaanee Nilaavu,Vidhu Prathap,48,"['filmi', 'mollywood']",[],2003-07-19,318786,50
20,2mr1VrS3YBRcPw9wE6KNek,Manju Pole,Srinivas,58,"['filmi', 'mollywood', 'tamil pop']",[],2003-07-19,301120,51
21,3SdBm0UuDoEdx1fAQdPs3l,Tumse Milna,Udit Narayan,74,"['chutney', 'classic bollywood', 'desi pop', 'filmi']",[],2003-06-28,281426,55
22,4mBmsPcPa1Eu4LDTHq55Ab,Hothon Se Chhu Lo Tum - From Prem Geet,Jagjit Singh,59,"['classic bollywood', 'desi pop', 'filmi', 'ghazal', 'hare krishna', 'sufi']",[],2003-01-01,297706,61
23,5sJjo5vHh3icLEntFQlt8w,Oodhni,Udit Narayan,74,"['chutney', 'classic bollywood', 'desi pop', 'filmi']",[],2003-06-28,413146,51
24,5HpQ2SuB4EWkEvUhNYh75t,Mere Naseeb Mein,Pamela Jain,48,"['classic bollywood', 'desi pop', 'filmi', 'gujarati garba', 'modern bollywood']",[],2003-07-11,384960,53
25,0k0isUYnsgYBKjJQykg3uN,Cheppave Chirugali,"Udit Narayan, Sujatha",42,['classic tollywood'],[],2003-01-17,330935,55
26,6APAPsBCutqTFJ9OFTbeCa,Ondra Renda,Bombay Jayashri,61,"['carnatic', 'carnatic vocal', 'filmi', 'indian classical', 'tamil pop']",[],2003-09-27,306626,58
27,6WCVnARSUrBrfzod8oAAQ3,Mellaga,"S.P.Charan, Sumangali",39,['classic tollywood'],[],2003-12-17,319993,57
28,1sISDngLLJBiXyl45bzeiL,Kopama Napina,"Karthik, Shreya Ghoshal",36,[],[],2003-12-17,291576,49
29,5TuoADSOUz7ldoPXrA9EZu,Ale Ale,"Karthik, Chitra, Sivaraman",30,['classic tollywood'],[],2003-07-29,385489,49
30,7LuYc1yBvfvvLC1O7Ng4v4,Uyirin Uyire,KK,72,"['desi pop', 'filmi', 'modern bollywood']",[],2003-09-27,321426,57
31,7ruWC3ciPppmxlZnjOPhVn,Ek Pyar Ka Naghma Hai - Shor,Jagjit Singh,59,"['classic bollywood', 'desi pop', 'filmi', 'ghazal', 'hare krishna', 'sufi']",[],2003-01-01,291655,51
