,id,song name,artist name,artist popularity,artist genres,album genres,release_date,song duration,song popularity
0,1DIXPcTDzTj8ZMHt3PDt8p,Gangsta's Paradise,Coolio,70,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",[],1995-11-07,240693,87
1,2epbL7s3RFV81K5UhTgZje,Lemon Tree,Fools Garden,57,['german pop rock'],[],1995-01-01,191026,42
2,0iG83qZ0ftWr43VggRYkp3,Muqabala Muqabala,Mano,61,['filmi'],[],1995-03-01,143977,59
3,6jhIHvt64qw5O8ViJSYzug,Urvashi Urvashi,A.R. Rahman,79,"['desi pop', 'filmi', 'modern bollywood']",[],1995-03-01,196115,51
4,1TxVsxGHGjEGeIlaqQZ6bS,Sun Ri Sakhi,Hariharan,69,"['filmi', 'ghazal', 'tamil pop']",[],1995-03-01,151150,47
5,196ogNnKrNuqC7EjNI2vE1,Tu Mile Dil Khile - Kumar Sanu,Kumar Sanu,71,"['classic bollywood', 'desi pop', 'filmi', 'modern bollywood']",[],1995-08-04,372661,52
6,1mGHdPZ5MBo1oR0xmPrqkk,Humko Sirf Tumse,Kumar Sanu,71,"['classic bollywood', 'desi pop', 'filmi', 'modern bollywood']",[],1995-09-29,409226,54
7,4OvdhTOjq75CvPO6O7AWRw,Dil Mera Churaya Kyun,Kumar Sanu,71,"['classic bollywood', 'desi pop', 'filmi', 'modern bollywood']",[],1995-07-25,282360,48
8,6AnhPQiGzu7zQDSFHMkCBI,Tu Mile Dil Khile - Sad,Kumar Sanu,71,"['classic bollywood', 'desi pop', 'filmi', 'modern bollywood']",[],1995-08-04,358672,43
9,2BpV7xTI41RgdSQ5bjgAfX,Premika Ne Pyar Se,S. P. Balasubrahmanyam,74,['filmi'],[],1995-03-01,161427,44
10,3wuCCNCnBhJlwkIJTBZFiv,They Don't Care About Us,Michael Jackson,81,"['pop', 'r&b', 'soul']",[],1995-06-16,284160,73
11,6dFQ3W3xuG4ll7cNjIsN2Q,Tujhe Dekha To,Lata Mangeshkar,72,"['classic bollywood', 'desi pop', 'filmi', 'lata']",[],1995-10-20,302093,57
12,6IENsn6l4ngqL6C2ucuKia,Dil Kehta Hai,Kumar Sanu,71,"['classic bollywood', 'desi pop', 'filmi', 'modern bollywood']",[],1995-07-25,415666,44
13,2JyPZNIsrL1xIoLZaqcqr1,Husn Hai Suhana,Chandana Dixit,41,[],[],1995-06-30,358266,55
14,3LllvNPZFMxJ4vLWuUBAHG,Ruk Ja O Dil Deewane,Udit Narayan,74,"['chutney', 'classic bollywood', 'desi pop', 'filmi']",[],1995-10-20,310453,54
15,0ZGicTeWpoIMpJax3NAuhn,Hai Rama,Hariharan,69,"['filmi', 'ghazal', 'tamil pop']",[],1995-05-14,407000,57
16,2MjnGtsgfqllql2ndWdGn8,Ho Gaya Hai Tujhko To Pyar Sajna,Lata Mangeshkar,72,"['classic bollywood', 'desi pop', 'filmi', 'lata']",[],1995-10-20,347680,56
17,4D5QGtYC7TWDfQvFq4fTLy,Gup Chup Gup Chup,Ila Arun,40,"['classic bollywood', 'filmi']",[],1995-01-13,357906,44
18,1vYreQ2DeOhKFtHiGBrRuZ,Main Toh Raste Se Ja Raha Tha,Alka Yagnik,75,"['classic bollywood', 'desi pop', 'filmi', 'hare krishna', 'modern bollywood']",[],1995-06-30,318706,49
19,1hGj2l3qGnv33MGXqse1hQ,Barsaat Ke Mausam Mein,Kumar Sanu,71,"['classic bollywood', 'desi pop', 'filmi', 'modern bollywood']",[],1995-03-03,524506,50
20,1l3xwcLUBx61xoZ40nXDs2,Bol Bol Bol,Ila Arun,40,"['classic bollywood', 'filmi']",[],1995-09-30,475560,44
21,4gmL6HURFqPMwx8nWQoOn2,Bolo Ta Ra Ra,Daler Mehndi,56,"['bhangra', 'desi hip hop', 'desi pop', 'filmi', 'modern bollywood']",[],1995-02-19,313026,51
22,4CYSPPTOOQcjg8OHbJsFiH,Ee Velalo Neevu,Sunitha,51,"['classic tollywood', 'filmi', 'tollywood', 'vintage tollywood']",[],1995-02-19,260000,48
23,1N2Ne905d96lZv7navjo8C,Nahin Yeh Ho Nahin Sakta,Kumar Sanu,71,"['classic bollywood', 'desi pop', 'filmi', 'modern bollywood']",[],1995-09-29,364106,43
24,1X4frH1kdwIeqspj1qdRG1,Jaati Hoon Main,Kumar Sanu,71,"['classic bollywood', 'desi pop', 'filmi', 'modern bollywood']",[],1995-01-13,383600,46
25,5qqabIl2vWzo9ApSC317sa,Wonderwall - Remastered,Oasis,74,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'pop rock', 'rock']",[],1995-10-02,258773,77
26,2s6MvDD8fGoaHQDHEZ7Sgl,Akele Hum Akele Tum,Udit Narayan,74,"['chutney', 'classic bollywood', 'desi pop', 'filmi']",[],1995-07-25,288546,51
27,1bqMVta76huBpSIzTIrDM0,Mehndi Laga Ke Rakhna,Lata Mangeshkar,72,"['classic bollywood', 'desi pop', 'filmi', 'lata']",[],1995-10-20,286694,52
28,07lpPIARsOE1O2Baub2Td0,Chick Chiklet,Baba Sehgal,45,"['desi hip hop', 'hindi hip hop']",[],1995,335597,42
29,1AhXEDyg2AbV7CAnyiAMvM,Mere Khwabon Mein,Lata Mangeshkar,72,"['classic bollywood', 'desi pop', 'filmi', 'lata']",[],1995-10-20,256440,58
30,1Jml3ehc0MVp3pUxfSoVe5,"Nooru Janmaku (From ""America America"")",Rajesh Krishnan,46,['filmi'],[],1995,259500,45
31,4fudUzDHbqdSA4ZUSuvOgc,Love Tujhe Love Main Karta,Kumar Sanu,71,"['classic bollywood', 'desi pop', 'filmi', 'modern bollywood']",[],1995-09-29,346133,45
32,79mKPex0ciNzaiWaO32FxD,Ettanaa,Vadivelu,36,['kollywood'],[],1995-12-31,290986,47
33,5o6OhGZJjGwaLsKeAgy1hz,Wafa Na Raas Aayee Tujhe O Harjaee,Nitin Mukesh,51,"['classic bollywood', 'filmi', 'ghazal']",[],1995-03-29,370208,44
34,47ibeosGiK3UG0xgVf9OrL,Dil Toh Khoya Hai,Kumar Sanu,71,"['classic bollywood', 'desi pop', 'filmi', 'modern bollywood']",[],1995-03-03,319000,44
35,72i2UY4FTlNLJE7W3TqQUp,Rangeela Re,Asha Bhosle,66,"['chutney', 'classic bollywood', 'desi pop', 'filmi']",[],1995-05-14,334840,46
36,2902xxI12Q7rr0bMGPFQUC,Raja KO Rani Se,Kumar Sanu,71,"['classic bollywood', 'desi pop', 'filmi', 'modern bollywood']",[],1995-07-25,374466,44
37,0kkkNUhAlQwm2WyMMt63qo,Malare,Vidyasagar,55,"['filmi', 'kollywood', 'tamil pop']",[],1995-02-20,305133,54
38,0dAWzBAbFmlag9RHW6urfn,Ghar Aaja Pardesi,Pamela Chopra,33,['classic bollywood'],[],1995-10-20,451840,46
39,0trgRUeHWSFHZ0W1640dwA,Zara Sa Jhoom Loon Main,Asha Bhosle,66,"['chutney', 'classic bollywood', 'desi pop', 'filmi']",[],1995-10-20,353693,56
40,735WeIIQYRfmtEdMmOgDY1,Akhiyaan Milaoon Kabhi,Alka Yagnik,75,"['classic bollywood', 'desi pop', 'filmi', 'hare krishna', 'modern bollywood']",[],1995-06-23,375266,49
41,2MZsVMGP1NGCE1AJq90dqB,Chakku Chakku Vaththikuchi,Aadityan,38,['tamil pop'],[],1995-12-31,269026,56
42,3qbSubaQIBgUM13S7kzWOd,Kisi Din Banoongi Main,Alka Yagnik,75,"['classic bollywood', 'desi pop', 'filmi', 'hare krishna', 'modern bollywood']",[],1995-06-23,438040,45
