,id,song name,artist name,artist popularity,artist genres,album genres,release_date,song duration,song popularity
0,6lanRgr6wXibZr8KgzXxBl,A Thousand Years,Christina Perri,70,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop']",[],2011-10-18,285120,79
1,0up9rhm9qt2LW7cnoDFCMk,Jiyein Kyun,Pritam,84,"['filmi', 'indian instrumental', 'modern bollywood']",[],2011-03-15,264962,62
2,7F8RNvTQlvbeBLeenycvN6,Kun Faya Kun,A.R. Rahman,79,"['desi pop', 'filmi', 'modern bollywood']",[],2011-10-01,470500,67
3,2b2HutIDmoeBnnKRWDLAtV,Phir Mohabbat,Mohammed Irfan,59,"['desi pop', 'filmi', 'modern bollywood']",[],2011-05-30,329851,63
4,6zAvNLJkdyRApUHnlJjKfO,Jhoom - R&B Mix,Ali Zafar,58,"['classic pakistani pop', 'desi pop', 'filmi', 'modern bollywood', 'pakistani pop', 'sufi']",[],2011-02-14,298986,72
5,7uNnlVit5qDvfOje0pqICF,Tum Ho,Mohit Chauhan,71,"['desi pop', 'filmi', 'modern bollywood']",[],2011-10-01,316500,63
6,1kcV2LJxt5v0s2cEGtEJ5i,Phir Se Ud Chala,Mohit Chauhan,71,"['desi pop', 'filmi', 'modern bollywood']",[],2011-10-01,268833,65
7,73y649QhnXdcm6fRdvfraO,Abhi Mujh Mein Kahin,Ajay-Atul,60,"['desi hip hop', 'desi pop', 'filmi', 'modern bollywood']",[],2011-12-16,364786,64
8,2VR1z4g6haFyMoghNj46KB,Jhoom,Ali Zafar,58,"['classic pakistani pop', 'desi pop', 'filmi', 'modern bollywood', 'pakistani pop', 'sufi']",[],2011-02-14,389213,59
9,3TcL0dyCMyr0kyTTc4NLgI,Who Says,Selena Gomez & The Scene,67,"['dance pop', 'pop', 'post-teen pop']",[],2011-01-01,195613,75
10,6GQK4G5o60E8YA18DGpAzv,Hale Dil,Harshit Saxena,46,['modern bollywood'],[],2011-05-30,346627,63
11,5a11x5PUFvJEadMRqtNtTr,Piya O Re Piya,Atif Aslam,74,"['classic pakistani pop', 'desi pop', 'filmi', 'modern bollywood', 'sufi']",[],2011-02-24,292746,65
12,5zcfnScTSFGCHGY1yeXWke,Ishq Sufiyana (Male),Kamal Khan,50,"['desi pop', 'punjabi pop']",[],2011-10-29,325257,63
13,6udC4b4jOSnHb9ItnXgKLR,Saibo,Sachin-Jigar,69,"['desi pop', 'filmi', 'gujarati pop', 'modern bollywood']",[],2011-03-28,195253,72
14,7rnqq7955ubY95MRPiRpue,Hai Mera Dil,Alfaaz,47,"['desi hip hop', 'desi pop']",[],2011-08-13,209853,58
15,6ZoCBDOB308GqUdt2AJrV2,Dildaara (Stand By Me),Shafqat Amanat Ali,61,"['classic pakistani pop', 'desi pop', 'filmi', 'modern bollywood', 'pakistani pop', 'sufi']",[],2011-09-16,249660,68
16,723xQva0yBF7M6K3nDAG8R,Sooraj Ki Baahon Mein,Dominique Cerejo,50,"['filmi', 'modern bollywood']",[],2011-06-06,202919,64
17,3x55c9UVpbURc2T02DLfEM,Te Amo (Duet),Pritam,84,"['filmi', 'indian instrumental', 'modern bollywood']",[],2011-03-15,284723,59
