,id,song name,artist name,artist popularity,artist genres,album genres,release_date,song duration,song popularity
0,4t1DkxexoMbIHfSHS4Uiyr,Ve Maahi,Arijit Singh,86,"['desi pop', 'filmi', 'modern bollywood']",[],2019-03-18,223999,66
1,0ZHILXmUaVSLEOCWxPQ1ga,Makhna,Tanishk Bagchi,77,"['desi pop', 'modern bollywood']",[],2019-10-03,183000,73
2,5ZsAhuQ24mWHiduaxJqnhW,Udd Gaye,Ritviz,62,"['desi hip hop', 'desi pop', 'hindi indie', 'indian edm']",[],2019-07-01,180413,66
3,5w0Xpt2YHT2Y3z3e4UUJP7,Kaise Hua,Vishal Mishra,68,"['desi pop', 'modern bollywood']",[],2019-06-14,234722,70
4,0mJTAdmY8olbGQjopDYff3,Vaaste,Dhvani Bhanushali,68,"['desi pop', 'modern bollywood']",[],2019-04-06,196043,68
5,7mNZUnDWUDidWBFaUpVtOC,Chidiya,Vilen,61,"['desi hip hop', 'desi pop', 'modern bollywood']",[],2019-12-14,253333,72
6,6N5WkgPIDoTdbCXyyIIKAv,tere bina,Zaeden,61,"['desi pop', 'hindi indie', 'indian edm']",[],2019-09-05,157245,68
7,5QtEFRYavs5S3GHtFEq7A4,Tujhe Kitna Chahne Lage,Arijit Singh,86,"['desi pop', 'filmi', 'modern bollywood']",[],2019-06-14,284779,67
8,65hNUaQSau704UtsRZVhKy,Tu Hi Das De,Tedi Pagg,49,[],[],2019-12-17,172831,67
9,0TK2YIli7K1leLovkQiNik,Señorita,Shawn Mendes,83,"['canadian pop', 'dance pop', 'pop', 'viral pop']",[],2019-06-21,190960,79
10,0ojpEubhy4JNeVftmVuiN7,Pehla Pyaar,Armaan Malik,73,"['desi pop', 'filmi', 'modern bollywood']",[],2019-06-14,272532,75
11,4n7jnSxVLd8QioibtTDBDq,On My Way,Alan Walker,79,['electro house'],[],2019-03-21,193797,73
12,2Fv2injs4qAm8mJBGaxVKU,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",Arijit Singh,86,"['desi pop', 'filmi', 'modern bollywood']",[],2019-05-31,284779,71
13,3IOgP2PSCTdoAID7VmMGEh,Ek Ladki Ko Dekha Toh Aisa Laga - Title Track,Darshan Raval,71,"['desi pop', 'gujarati pop', 'modern bollywood']",[],2019-01-30,155172,69
14,3oWxFNsXstcancCR1wODR4,Tera Ban Jaunga,Akhil Sachdeva,64,"['desi pop', 'modern bollywood']",[],2019-06-14,236436,71
15,65c6VCikt7f5sAS1heoYQC,Same Beef,Bohemia,60,"['desi hip hop', 'desi pop', 'pakistani hip hop', 'punjabi hip hop']",[],2019-09-18,290360,67
16,1feANd8EfcDP5UqSvbheM3,"Bekhayali (From ""Kabir Singh"")",Sachet Tandon,69,"['desi pop', 'modern bollywood']",[],2019-05-24,371790,67
17,04UzZSWfw8hkK832P27QLq,Yaari,Nikk,52,"['desi pop', 'punjabi pop']",[],2019-05-07,177750,65
18,1L3Nsi7YXtBxTdnbqektia,Hawa Banke,Darshan Raval,71,"['desi pop', 'gujarati pop', 'modern bollywood']",[],2019-07-18,171987,71
19,6E9UwSfT80age2xknoMS7Y,"Tum Hi Aana (From ""Marjaavaan"")",Payal Dev,65,"['desi pop', 'modern bollywood']",[],2019-10-03,249126,69
20,1Xi84slp6FryDSCbzq4UCD,Arcade,Duncan Laurence,68,['dutch pop'],[],2019-03-07,183624,79
21,1TQXIltqoZ5XXyfCbAeSQQ,Dancing With Your Ghost,Sasha Alex Sloan,69,"['alt z', 'electropop', 'pop']",[],2019-06-28,197732,79
22,2tjWCe2W7sgvS3C8NHcdtI,"Duniyaa (From ""Luka Chuppi"")",Akhil,63,"['desi hip hop', 'desi pop', 'punjabi pop']",[],2019-02-22,222500,73
23,53S98SFeRSxjd7F7eUnfAJ,Teri Hogaiyaan,Vishal Mishra,68,"['desi pop', 'modern bollywood']",[],2019-11-20,175874,69
24,1rDjwexewf4hrdZT7SRNsH,Nasha (Equals Sessions),Faridkot,51,"['hindi indie', 'indian folk', 'indian indie', 'indian rock', 'new delhi indie']",[],2019-10-25,287573,68
25,0WdbnNKO0Jt4BZACSDQh44,"Ghungroo (From ""War"")",Vishal-Shekhar,72,"['desi pop', 'filmi', 'modern bollywood']",[],2019-09-30,302935,70
26,0Id2IzhR3w50aP2PHfMUE3,Nira Ishq,Guri,56,"['desi hip hop', 'desi pop', 'doujin', 'punjabi pop']",[],2019-02-21,181514,69
27,5DqdesEfbRyOlSS3Tf6c29,It's You,Ali Gatie,69,"['canadian hip hop', 'pop']",[],2019-11-08,212606,79
28,0bMbDctzMmTyK2j74j3nF3,"Alone, Pt. II",Alan Walker,79,['electro house'],[],2019-12-27,179052,74
