,id,song name,artist name,artist popularity,artist genres,album genres,release_date,song duration,song popularity
0,50kpGaPAhYJ3sGmk6vplg0,Love Yourself,Justin Bieber,89,"['canadian pop', 'pop']",[],2015-11-13,233720,83
1,6f3ANRNQ8nCiPZ6VqXqq93,Main Rahoon Ya Na Rahoon,Amaal Mallik,67,"['desi pop', 'modern bollywood']",[],2015-11-24,309457,69
2,6uQkoo1UGWThtEpNEYc6Ga,"Sapna Jahan (From ""Brothers"")",Ajay-Atul,60,"['desi hip hop', 'desi pop', 'filmi', 'modern bollywood']",[],2015-07-24,341780,60
3,6mTvwBzWTGDOVeCNQEqtOE,Soch Na Sake,Amaal Mallik,67,"['desi pop', 'modern bollywood']",[],2015-12-17,281322,70
4,2qgXrzJsry4KgYoJCpuaul,Choo Lo,The Local Train,54,"['assamese pop', 'desi hip hop', 'desi pop', 'filmi', 'hindi indie', 'indian indie', 'indian rock', 'new delhi indie']",[],2015-09-25,233630,66
5,09CtPGIpYB4BrO8qb1RGsF,Sorry,Justin Bieber,89,"['canadian pop', 'pop']",[],2015-11-13,200786,80
6,3zkWCteF82vJwv0hRLba76,Stitches,Shawn Mendes,83,"['canadian pop', 'dance pop', 'pop', 'viral pop']",[],2015-04-14,206880,79
7,2JzZzZUQj3Qff7wapcbKjc,See You Again (feat. Charlie Puth),Wiz Khalifa,81,"['dance pop', 'hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",[],2015,229525,81
8,2K87XMYnUMqLcX3zvtAF4G,Drag Me Down,One Direction,83,"['boy band', 'pop', 'post-teen pop', 'talent show']",[],2015-11-13,192120,79
9,7txLCGOXyDlDXTjtR1Sk4v,Tu Jo Mila,KK,72,"['desi pop', 'filmi', 'modern bollywood']",[],2015-07-07,242864,60
10,3RiPr603aXAoi4GHyXx0uy,Hymn for the Weekend,Coldplay,87,"['permanent wave', 'pop']",[],2015-12-04,258266,84
11,3hkC9EHFZNQPXrtl8WPHnX,Agar Tum Saath Ho,Alka Yagnik,75,"['classic bollywood', 'desi pop', 'filmi', 'hare krishna', 'modern bollywood']",[],2015-10-16,341054,72
12,5GeBgck1MU2tlIkMpsn8uT,Matargashti,Mohit Chauhan,71,"['desi pop', 'filmi', 'modern bollywood']",[],2015-10-16,328052,61
13,6TGX01ExmdHyOG72fqUU3Q,Zindagi Kuch Toh Bata (Reprise),Jubin Nautiyal,75,"['desi pop', 'filmi', 'hare krishna', 'modern bollywood']",[],2015-07-07,258877,63
14,2gXZp1zDDA5bnPsLwrSMRj,Kinna Sona,Sunil Kamath,44,[],[],2015-08-24,303755,62
15,32765xcLM1fd6wQIpkN9A0,Hasi - Male Version,Ami Mishra,56,"['desi pop', 'modern bollywood']",[],2015-05-21,272668,69
16,7oUHzZKNKUTrlU7DYxhQ7v,Maps,Maroon 5,84,['pop'],[],2015-05-18,189960,71
17,1cmZbGkCEVVAck2MsWpPYQ,Hasi - Female Version,Ami Mishra,56,"['desi pop', 'modern bollywood']",[],2015-05-21,192186,68
18,3zHq9ouUJQFQRf3cm1rRLu,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,78,"['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'uk pop']",[],2015-11-06,252534,78
19,48pyUxg9RYuwie5M9R7qRn,Sooraj Dooba Hain,Arijit Singh,86,"['desi pop', 'filmi', 'modern bollywood']",[],2015-01-09,264854,63
20,3u947zydbp5jVgVNlaRgv4,Tere Bin Nahi Laage (Male Version),Uzair Jaswal,44,['pakistani pop'],[],2015-03-10,222396,62
21,5GjxbFTZAMhrVfVrNrrwrG,Na Na Na Na,J Star,50,['desi pop'],[],2015,209729,63
