,id,song name,artist name,artist popularity,artist genres,album genres,release_date,song duration,song popularity
0,47BBI51FKFwOMlIiX6m8ya,I Want It That Way,Backstreet Boys,74,"['boy band', 'dance pop']",[],1999-05-18,213306,80
1,5fq7CGNYZKJm38HbLwMg9h,Ek Din Aap,Kumar Sanu,71,"['classic bollywood', 'desi pop', 'filmi', 'modern bollywood']",[],1999-06-18,266066,58
2,0QBgCQM3VQCSbd4M5I2N43,Mera Chand Mujhe Aaya Hai Nazar,Kumar Sanu,71,"['classic bollywood', 'desi pop', 'filmi', 'modern bollywood']",[],1999-01-01,351266,52
3,6GWchpKWsKkwR6jcl0yG6V,Pyaar Ke Pal,KK,72,"['desi pop', 'filmi', 'modern bollywood']",[],1999-04-16,359373,53
4,0zFG3RWjka7dNRIRTWnXMN,Yaaron,KK,72,"['desi pop', 'filmi', 'modern bollywood']",[],1999-04-16,268866,52
5,2Kja7rWFWrg3GcMQS3hyFN,Meri Duniya Hai,Sonu Nigam,72,"['desi pop', 'filmi', 'modern bollywood']",[],1999-08-28,278106,55
6,2fsPrE2NYiHOHPMuWbjvTj,Ramta Jogi,Sukhwinder Singh,65,"['classic bollywood', 'desi hip hop', 'desi pop', 'filmi', 'modern bollywood']",[],1999-08-13,377000,58
7,5rzKf4kvAXeMewlN4jeATD,Sandese Aate Hai,Sonu Nigam,72,"['desi pop', 'filmi', 'modern bollywood']",[],1999-03-26,632960,51
8,3NpNTYETMcXspfs8hE8T7h,Ishq Tera Tadpave - Oh Ho Ho Ho,Sukhbir,55,"['bhangra', 'desi hip hop', 'desi pop', 'modern bollywood']",[],1999-01-01,367818,55
9,4eSptlk4boHEHiFKHnsyoF,Ishq Bina,Anuradha Sriram,57,"['filmi', 'tamil pop']",[],1999-08-13,465133,52
10,3GIxNehfNB1vsDCTWBoGiU,Ahista,Pankaj Udhas,57,"['classic bollywood', 'desi pop', 'filmi', 'ghazal', 'sufi']",[],1999,434400,51
11,77y2yW2spk3HCkZXjlbhCD,Aankhon Mein,Jai Walia,37,[],[],1999-01-01,271840,54
12,0898lqIxzKWzUZxb5zT7C9,Chaand Taare,Abhijeet,64,"['classic bollywood', 'desi pop', 'filmi', 'modern bollywood']",[],1999-06-18,289373,52
13,6n6hEYHXBzWfdSzBX20ZRw,Tadap Tadap,KK,72,"['desi pop', 'filmi', 'modern bollywood']",[],1999-04-30,397773,55
14,503OTo2dSqe7qk76rgsbep,Still D.R.E.,Dr. Dre,78,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",[],1999-11-16,270586,83
15,5NbR7c5zrOZN3Dje3JVJEN,Hoshwalon Ko Khabar Kya,Jagjit Singh,59,"['classic bollywood', 'desi pop', 'filmi', 'ghazal', 'hare krishna', 'sufi']",[],1999-04-30,307000,61
16,4M8dRVFWKMfh7hPzGCYxra,Poovullo Daagunna,"Unni Krishnan, Sujatha",35,['classic tollywood'],[],1999-10-30,415503,53
17,6LVYBlYJ4pezcfk7V8Tttk,Chand Chhupa Badal Mein,Udit Narayan,74,"['chutney', 'classic bollywood', 'desi pop', 'filmi']",[],1999-04-30,347013,58
18,0WBClBemYPJR44H6uIn0kp,Main Koi Aisa Geet Gaoon,Abhijeet,64,"['classic bollywood', 'desi pop', 'filmi', 'modern bollywood']",[],1999-06-18,317000,52
19,5mhuZ0inchJ2JimeGZInfB,Aankhon Ki Gustakhiyan,Kumar Sanu,71,"['classic bollywood', 'desi pop', 'filmi', 'modern bollywood']",[],1999-04-30,303173,53
20,0l93A9IUolKUtMtjLL4dFY,To Chalun,Roop Kumar Rathod,63,"['classic bollywood', 'desi pop', 'filmi', 'modern bollywood', 'sufi']",[],1999-03-26,458693,53
21,1qyib2Wb5YTbNzZi7QMhEY,Ae Kash Ke Hum,Jatin-Lalit,64,"['afghan pop', 'chutney', 'classic bollywood', 'desi pop', 'filmi', 'modern bollywood']",[],1999-08-01,310426,61
22,4A15QHUraE6rrP0Co6S3lG,Woh Ladki Jo,Abhijeet,64,"['classic bollywood', 'desi pop', 'filmi', 'modern bollywood']",[],1999-07-01,434300,55
23,1s2BVgfna5AW7LCw9rf02r,Taal Se Taal,Alka Yagnik,75,"['classic bollywood', 'desi pop', 'filmi', 'hare krishna', 'modern bollywood']",[],1999-08-13,378026,54
24,4LwU4Vp6od3Sb08CsP99GC,The Next Episode,Dr. Dre,78,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",[],1999-11-16,161506,80
