,id,song name,artist name,artist popularity,artist genres,album genres,release_date,song duration,song popularity
37,2RB0HGpFZ3ScPEqC7uCqr3,Hoyna,"Karthik, Chitra",42,['classic tollywood'],[],2007-04-26,306977,58
38,3YB09zhSWO8mmESr8NUV0n,Manassa,"Haricharan, Sadhana Sargam",37,['classic tollywood'],[],2007-05-07,349653,55
39,693359DlfpvoEfIYleKs05,Endhuko Pichi Pichi,Karunya,48,"['telugu indie', 'tollywood']",[],2007-08-21,271910,58
40,1P4OiSP7ylgP3BmQyE0xx9,Ponmagal Vandaal,Aslam,42,[],[],2007-04-11,185546,56
41,46LoYZSh8V0Ean52vPNpcC,Pogadhe,Yuvan Shankar Raja,75,"['filmi', 'kollywood', 'tamil pop']",[],2007-01-05,330400,63
42,0BxE4FqsDD1Ot4YuBXwAPp,505,Arctic Monkeys,87,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",[],2007-04-22,253586,86
43,7JqpYvigO9X4QY3W9QTArZ,Arabu Naadu,Haricharan,67,"['filmi', 'tamil pop']",[],2007-06-30,322013,60
44,6ic8OlLUNEATToEFU3xmaH,Gimme More,Britney Spears,80,"['dance pop', 'pop']",[],2007-10-25,251240,78
45,7EICSvrfg1zzFp6iNUZ6Og,Valayapatti,Naresh Iyer,63,"['filmi', 'mollywood', 'tamil pop']",[],2007-04-11,344360,56
46,0jXnRZTUASl2uhsRfXjoJT,Kaadhal Vaithu,Yuvan Shankar Raja,75,"['filmi', 'kollywood', 'tamil pop']",[],2007-01-05,309000,61
47,7a7badaPkBz9NWMWnPTwN5,Nunugu Misalodu,M. M. Keeravani,60,"['classic tollywood', 'vintage tollywood']",[],2007-07-14,302942,57
48,3lKI2qR6rgR13kQ6bidXK5,Macha Kanni,Vijay Antony,59,"['filmi', 'kollywood', 'tamil pop']",[],2007,290053,56
49,6cZcVAjgELRB6w9h6jaYtJ,Thozhiya,Harish Raghavendra,61,"['filmi', 'tamil pop']",[],2007-12-07,296724,55
50,5Dq7d6Y2K2CRNFm1bC3I7A,Bum Bum Bole,Shaan,65,"['desi pop', 'filmi', 'modern bollywood']",[],2007-11-05,335832,50
51,6ucR4KfvsBFWCMVFDvyKKl,Apologize - feat. One Republic,Timbaland,74,"['dance pop', 'hip hop', 'pop', 'pop rap', 'urban contemporary']",[],2007-01-01,184400,76
52,4SuA85PaD8GFTPYwKNYDe1,Maa,Shankar Mahadevan,71,"['desi pop', 'filmi', 'modern bollywood']",[],2007-11-05,310664,53
53,0OWzDem8abfJvWpQcssjIE,Maula Mere Lele Meri Jaan,Salim–Sulaiman,61,"['desi pop', 'filmi', 'indian folk', 'modern bollywood']",[],2007-08-01,288365,50
54,1IfhPnZpm0IZOoAM1PDjtw,Kholo Kholo,Raman Mahadevan,40,"['filmi', 'modern bollywood']",[],2007-11-05,311985,53
55,5ELS4KckqA4uxrS8RnxEjv,Taare Zameen Par,Shankar Mahadevan,71,"['desi pop', 'filmi', 'modern bollywood']",[],2007-11-05,428498,50
56,7gjKf47lqIdnEX2whofnxM,Ni Nachleh,Imran Khan feat. Lucky,35,['desi pop'],[],2007-05-30,226866,54
57,2H9SvhMVXSYPxxkQgzkTKp,Hey Shona,Vishal-Shekhar,72,"['desi pop', 'filmi', 'modern bollywood']",[],2007-04-03,319294,53
58,6fOrdTNuSAM219wGYwZMaO,Mera Pehla Pehla Pyaar,KK,72,"['desi pop', 'filmi', 'modern bollywood']",[],2007-05-12,271025,51
59,5arambGXhSW6TZUR9L0tSw,Baatein Kuch Ankahee,Pritam,84,"['filmi', 'indian instrumental', 'modern bollywood']",[],2007-03-17,275413,53
60,0j2T0R9dR9qdJYsB7ciXhf,Stronger,Kanye West,90,"['chicago rap', 'rap']",[],2007-09-11,311866,81
61,1SDzEed9leGGDVJIv2GPUE,Mausam,Mithoon,69,"['desi pop', 'filmi', 'modern bollywood', 'sufi']",[],2007-04-18,341820,54
62,2aHz87L2Z4a0ZEQ7vMlH8z,Badal Pe Paon Hai,Salim–Sulaiman,61,"['desi pop', 'filmi', 'indian folk', 'modern bollywood']",[],2007-08-01,243931,52
63,53JA46jA1QroK2kQlyFlkM,Inn Lamhon Ke Daaman Mein,A.R. Rahman,79,"['desi pop', 'filmi', 'modern bollywood']",[],2007-12-31,397826,53
64,4wfyFIRnxdIN0v4OGtXcX3,What I've Done,Linkin Park,82,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",[],2007-05-14,205613,57
65,2hyYqX8IVVxFEFIUf0zZam,Ucha Lamba Kad,Anand Raj Anand,59,"['desi pop', 'filmi', 'modern bollywood']",[],2007-11-21,279666,52
66,7EjatvVN2Y2GjpvKSyWJR4,Alvida,Pritam,84,"['filmi', 'indian instrumental', 'modern bollywood']",[],2007-03-17,338586,52
67,4GrzhbZQQc9SrU4Vo6J3WY,Yoon Shabnami,Monty Sharma,49,"['desi pop', 'filmi', 'modern bollywood']",[],2007-09-14,315360,54
68,2R4zzmPXIFuBH0BqdWDkfC,Mere Dholna,Pritam,84,"['filmi', 'indian instrumental', 'modern bollywood']",[],2007-09-05,404432,54
69,4IPzzBnFrGrlijBWY0JDYB,Dastaan - E - Om Shanti Om,Shaan,65,"['desi pop', 'filmi', 'modern bollywood']",[],2007-09-18,426498,51
70,4eKWtXoGajnaGKvKAcgc8f,Dhoom Taana,Shreya Ghoshal,79,"['desi pop', 'filmi', 'modern bollywood']",[],2007-09-18,373357,52
71,30dqGIJ2ehDhTIKpuoqp8i,Ee Sanje Yakagide,Sonu Nigam,72,"['desi pop', 'filmi', 'modern bollywood']",[],2007-08-05,311928,50
72,3wiKJ8i3Ixdrc3qxBFFbPM,Dupatta Tera Nau Rang Da,Sonu Nigam,72,"['desi pop', 'filmi', 'modern bollywood']",[],2007-06-12,303613,50
73,6qMB7GsJd7L8sqEvQGWQl6,O Meri Jaan,Pritam,84,"['filmi', 'indian instrumental', 'modern bollywood']",[],2007-03-17,305600,50
74,3gLf7ctpqnklhoQfeveBw0,Ab To Forever,Vishal-Shekhar,72,"['desi pop', 'filmi', 'modern bollywood']",[],2007-04-03,301714,52
75,2W6bC4K4e6y42HnYTA5yHO,Nagada Nagada,Pritam,84,"['filmi', 'indian instrumental', 'modern bollywood']",[],2007-09-21,228469,54
76,3KvDoaerZlCURvdqfnXN3R,Ninnidale,Sonu Nigam,72,"['desi pop', 'filmi', 'modern bollywood']",[],2007-06-24,289358,50
77,6D3vmtskO4RbZP3bBIDY3X,Chak De India,Salim–Sulaiman,61,"['desi pop', 'filmi', 'indian folk', 'modern bollywood']",[],2007-08-01,283951,55
78,6D2ZnEZ92wUFTr38YXTCL5,You're My Love,Shaan,65,"['desi pop', 'filmi', 'modern bollywood']",[],2007-06-12,279120,55
79,5vTK1aaFZo2auJjQhGgHgD,Mustafaa Mustafaa,Kadhal Desam,45,[],[],2007-10-01,366225,52
80,2GTasAZimpxzNgE7aXFifI,Dard - E - Disco,Sukhwinder Singh,65,"['classic bollywood', 'desi hip hop', 'desi pop', 'filmi', 'modern bollywood']",[],2007-09-18,268712,56
81,2B9WTMKp4vrG015aBpVAPV,Azeem-O-Shaan Shahenshah,A.R. Rahman,79,"['desi pop', 'filmi', 'modern bollywood']",[],2007-12-31,354520,49
82,3YxK4m96nKH7Vw3vX1B04p,Kanavellam,Dhilip Varman,41,"['desi hip hop', 'malaysian tamil pop', 'tamil pop']",[],2007-05-01,276800,53
83,2Bn2JQAGZzxe09jFzm1SqJ,Aaja Nachle,Salim–Sulaiman,61,"['desi pop', 'filmi', 'indian folk', 'modern bollywood']",[],2007-10-18,305162,55
84,2bLqfJjuC5syrsgDsZfGmn,The Way I Are,Timbaland,74,"['dance pop', 'hip hop', 'pop', 'pop rap', 'urban contemporary']",[],2007-01-01,179120,80
85,1us8uUo44iGtZKKZJi8Buy,Love U Raa,"Deepu, Rita",30,['classic tollywood'],[],2007-08-21,290871,49
86,0YNz2Qdl3C60BgVrSBVSJA,Naran,K. S. Chithra,71,['filmi'],[],2007-07-01,199000,51
87,4nQTjFHjgznhXpW2j3bu9Y,Chamka Chamka,"Ranjith, Geetha Madhuri",30,['classic tollywood'],[],2007-08-21,307379,49
88,3Tu8zZ9osqEy3OJriNlZNc,Ella Pugazhum,A.R. Rahman,79,"['desi pop', 'filmi', 'modern bollywood']",[],2007-04-11,331506,51
89,18RUE4llLj46NIQKojerlw,Buggey Bangarama,Rajesh,49,"['filmi', 'sandalwood']",[],2007-09-06,272759,48
90,1vPCYSxR27hfWwD6FQtWIm,Maduraikku pogathadee,Benny Dayal,67,"['desi pop', 'filmi', 'modern bollywood']",[],2007-04-11,323293,50
91,2724M1EwPYBB8s0J3t0D8R,Yamaho Yama,Tippu,60,"['filmi', 'tamil pop']",[],2007-08-21,297482,50
92,4OecRWI6w9FKXuaNVnWuCR,Jigar Pe Chot Wo Khai,Altaf Raja,50,"['classic bollywood', 'filmi', 'ghazal', 'modern bollywood']",[],2007,169116,51
93,5TRPicyLGbAF2LGBFbHGvO,Flashing Lights,Kanye West,90,"['chicago rap', 'rap']",[],2007-09-11,237506,84
94,6t2rDXyJZUD6uTp7P8e6Z4,Kadhal Vaithu,Vijay Yesudas,62,"['filmi', 'tamil pop']",[],2007-01-05,311013,50
95,39XRjLpE76cqyQMQl0ZmCU,Karu Karu,Harris Jayaraj,69,"['filmi', 'tamil pop']",[],2007-02-16,216093,49
96,7AqdmyhxeYqwfwW52TTPdF,Vethalaiya Potendi,Yuvan Shankar Raja,75,"['filmi', 'kollywood', 'tamil pop']",[],2007-12-14,262120,50
97,2FyWvKLqK8jpysuxQ228so,Kovakkara Kiliye,Yuvan Shankar Raja,75,"['filmi', 'kollywood', 'tamil pop']",[],2007-10-17,252346,49
98,7s1126S71Axf0d2MXLaAYX,Chala Challa Gali,M. M. Keeravani,60,"['classic tollywood', 'vintage tollywood']",[],2007-07-14,116897,51
99,46EjU5BG7Eqee6M4qJ6PUP,Junile Nilamazhayil,K. J. Yesudas,66,"['filmi', 'mollywood']",[],2007-07-01,288346,53
100,0ShD5dxdAfDHx01sm20ybX,Meri Kahani,Atif Aslam,74,"['classic pakistani pop', 'desi pop', 'filmi', 'modern bollywood', 'sufi']",[],2007-01-16,192920,46
101,6S18su3fmCpLzBsJCQWovx,Somebody's Me,Enrique Iglesias,75,"['latin pop', 'mexican pop']",[],2007,238466,49
102,1hGy2eLcmC8eKx7qr1tOqx,Beautiful Girls,Sean Kingston,68,"['dance pop', 'miami hip hop', 'pop', 'post-teen pop', 'rap', 'urban contemporary']",[],2007-07-23,225373,77
103,3UhXPxLDFKCj1ZO6mmtV0a,Apologize,OneRepublic,83,"['piano rock', 'pop']",[],2007-11-20,208106,73
104,04FnSzoogJD1iQbghug23K,Javeda Zindagi-Tose Naina Lage,Kshitij,29,['sufi'],[],2007-01-12,502520,45
105,4yWEl7boNZlIUQ32enHCsi,Baatein Kuch Ankahee Si - Unplugged,Pritam,84,"['filmi', 'indian instrumental', 'modern bollywood']",[],2007-03-17,258799,45
106,2FML7gk7ac6quGFIjvkDb3,Dear God,Avenged Sevenfold,72,"['alternative metal', 'nu metal']",[],2007-10-26,393480,67
107,3V3qab2wyi5LjGLjvbV4fD,Mast Kalandar,Saleem Shahzada,30,[],[],2007-07-17,345788,48
108,7CMyoI8zAFAUhMnQ5NzNnu,Allah Hafiz,Pritam,84,"['filmi', 'indian instrumental', 'modern bollywood']",[],2007-09-05,270469,47
109,0A6VfcrxBpLSCh6fydzOVl,Kya Mujhe Pyar Hai (Style Mix),KK,72,"['desi pop', 'filmi', 'modern bollywood']",[],2007-05-07,255173,45
110,3GxxcSnjb2wN1qQNRJVpwq,Viraaniya,Himesh Reshammiya,64,"['desi pop', 'filmi', 'modern bollywood']",[],2007-02-23,343666,46
111,3ECmV07yH51O27hBi05Pjy,Yahi Hota Pyaar,Himesh Reshammiya,64,"['desi pop', 'filmi', 'modern bollywood']",[],2007-02-23,383613,48
112,4XUeVYXnrFJIvKnXTAIpBn,Heyy Babyy,Neeraj Shridhar,66,"['desi pop', 'filmi', 'modern bollywood']",[],2007-07-17,274576,46
113,0mEdbdeRFQwBhN4xfyIeUM,Can't Tell Me Nothing,Kanye West,90,"['chicago rap', 'rap']",[],2007-09-11,271600,77
114,3LcLpFcpuQApNB0XXgxipQ,Chadti Jawani - Caravan - 71,Shreekant Krishnamurthy,28,[],[],2007-01-07,290173,46
115,5MgUF632EadmiXcIfzDEqU,Vascodagama - Duet Version,Afsal,47,"['filmi', 'mollywood']",[],2007-07-20,265613,46
116,66wEHvHkE7iz73PEob4Y98,Sajna Ji Vaari Vaari,Sunidhi Chauhan,71,"['desi pop', 'filmi', 'modern bollywood', 'sufi']",[],2007-01-22,221893,49
117,5abF4FI366vQdn3ALwBmLS,Hoth Rasiley,Anand Raj Anand,59,"['desi pop', 'filmi', 'modern bollywood']",[],2007-11-21,280241,46
118,6fIwlHquUDhe7W0TMn3Ilf,Naa Manasuki,"Karthik, Gayatri",26,['classic tollywood'],[],2007-03-27,339461,44
119,32faUN4IsCs1wk1ljIQr9C,Naalo Oohalaku,"Asha Bhonsle, K.M.Radhakrishnan",28,['classic tollywood'],[],2007-09-06,273776,46
120,4wHCVZyVd2W3jSka2OsYua,Neevalle Nevalle,"Krish, Karthik, Harini",27,['classic tollywood'],[],2007-02-16,281791,46
121,4x5uoQb5R9HeidD4tQpyXW,Apne,Sonu Nigam,72,"['desi pop', 'filmi', 'modern bollywood']",[],2007-05-22,405942,45
122,68YRDduKLy0DFKp2RWd9VS,O Vennilla,Kadhal Desam,45,[],[],2007-10-01,297168,45
123,15VhrOnyIebxei4gzZbiBA,Aakasa Ganga,Karthik,68,"['filmi', 'tamil pop']",[],2007-12-14,306387,48
124,6yVeYqlH4yUGgMFoBa1qlA,Akalesthey,"Mamatha Mohandas, Naveen",30,[],[],2007-07-03,258967,48
125,4NtaQSiRgkQ2Af8GSW0B0t,Billo Rani,Pritam,84,"['filmi', 'indian instrumental', 'modern bollywood']",[],2007-10-30,329247,49
126,3UNflWftZfZqTqaL8lW2XR,Maria Maria,Sonu Nigam,72,"['desi pop', 'filmi', 'modern bollywood']",[],2007-06-12,279786,47
127,4HfmI5Yisll9PCOjJhtijw,Jhoom Barabar Jhoom,Shankar-Ehsaan-Loy,66,"['desi pop', 'filmi', 'modern bollywood']",[],2007-05-15,425613,50
128,0GdgOWnVh1x8kmlJeNHeoH,Woh Kisi Aur Kisi Aur Se Milke,Agam Kumar Nigam,43,"['classic bollywood', 'filmi', 'odia pop']",[],2007-07-17,389840,45
129,3JmgYoLGP5v2wgBaqmMUwD,Chakna Chakna,Himesh Reshammiya,64,"['desi pop', 'filmi', 'modern bollywood']",[],2007-02-23,345693,47
130,7tOZVzYpEiLVKDC5U4qhYB,Satyam Yemito,"Deepu, Usha",26,['classic tollywood'],[],2007-10-18,289786,44
131,6rm1fm5n1QEP0HWYBzMH6B,Katrin Mozhiye - Female,Balram,41,[],[],2007-02-23,352200,44
132,5jDcZCA2NJEvk7Kwa6bcE1,Allantha Doorala,S. P. Balasubrahmanyam,74,['filmi'],[],2007-03-27,273293,47
133,7t7FpQkhNuPal6ucwIodn0,Edhuta Nilichindhi,Karthik,68,"['filmi', 'tamil pop']",[],2007-12-14,287414,46
134,2rnLeyh2ihyzxBFOjBezVo,Muthu Mazha - Duet Version,Vineeth Sreenivasan,59,"['filmi', 'mollywood']",[],2007-07-25,267546,45
135,3WnkthKWaNjhxA1VXx0wnS,Nee marilyn monroe,Benny Dayal,67,"['desi pop', 'filmi', 'modern bollywood']",[],2007-04-11,374986,45
136,6fU7UdAqECnXhLsHoSBFhE,Male Ninthu Hoda Mele - (F),Shreya Ghoshal,79,"['desi pop', 'filmi', 'modern bollywood']",[],2007-06-24,361456,44
137,24YlkYUSoNVcYgDkddPo1C,Unn Thalai Mudi,Karthik Nidesh Gopalan,28,[],[],2007-12-07,334889,46
138,2H6aGuQCchI1Qa4eUb51Ua,Oororo Yogi,"Karthik, Sunitha",29,[],[],2007-01-14,276706,47
139,7rbECVPkY5UODxoOUVKZnA,I Wonder,Kanye West,90,"['chicago rap', 'rap']",[],2007-09-11,243440,81
140,6B5xvGvHyVjN8HBdAsoWH0,Maro Maro,"Rahul Nambiar, Suchitra",28,[],[],2007-08-21,281021,47
141,4RyHVSQr51MyAZvNW8DwLq,Tera Mera Milna,Himesh Reshammiya,64,"['desi pop', 'filmi', 'modern bollywood']",[],2007-04-28,350613,46
142,451HqwXchmTTJawK4Uw0nH,Nuvvu Muttukunte,K. G. Ranjith,28,['classic tollywood'],[],2007-07-14,232385,46
143,2rXrgOY9qMC1qws28mbXcP,Muthu Mazha,Alphons,28,[],[],2007-07-25,267493,46
144,6avDIF4iuIKcQAwVIpkOB6,Unakkul Naane,Harris Jayaraj,69,"['filmi', 'tamil pop']",[],2007-02-16,281040,48
145,6r83e4MtkKXCqhKSvuVAey,Dol Dol,"Ranjith, Suchitra",38,[],[],2007-05-25,283346,47
